experiment,batch_size,mode,timing_case,visible_cuda_devices,used_cuda_devices,device_ids,model,parameter_count,warmup,repeats,total_seconds,seconds_per_repeat,milliseconds_per_repeat,examples_per_second,single_gpu_ms_per_repeat,dataparallel_ms_per_repeat,dataparallel_speedup,single_gpu_examples_per_second,dataparallel_examples_per_second,throughput_speedup
dataparallel,128,dataparallel,forward_backward,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.1622377539752051,0.0081118876987602,8.111887698760256,15779.311148447272,1.3309804489836097,8.111887698760256,0.1640777706016596,96169.70714915157,15779.311148447272,0.16407777060165957
dataparallel,128,single_gpu,forward_backward,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.0266196089796721,0.0013309804489836,1.3309804489836097,96169.70714915157,1.3309804489836097,8.111887698760256,0.1640777706016596,96169.70714915157,15779.311148447272,0.16407777060165957
dataparallel,256,dataparallel,forward_backward,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.1618467470398172,0.0080923373519908,8.092337351990864,31634.865041435685,3.937604249222205,8.092337351990864,0.4865842930106568,65014.15170165151,31634.865041435685,0.4865842930106567
dataparallel,256,single_gpu,forward_backward,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.078752084984444,0.0039376042492222,3.937604249222205,65014.15170165151,3.937604249222205,8.092337351990864,0.4865842930106568,65014.15170165151,31634.865041435685,0.4865842930106567
dataparallel,512,dataparallel,forward_backward,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.1584172999719157,0.0079208649985957,7.920864998595789,64639.404924937786,11.348209000425411,7.920864998595789,1.4326981967799253,45117.25153993961,64639.404924937786,1.4326981967799253
dataparallel,512,single_gpu,forward_backward,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.2269641800085082,0.0113482090004254,11.348209000425411,45117.25153993961,11.348209000425411,7.920864998595789,1.4326981967799253,45117.25153993961,64639.404924937786,1.4326981967799253
dataparallel,1024,dataparallel,forward_backward,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.1619053749600425,0.0080952687480021,8.095268748002127,126493.63867663052,24.669730896130204,8.095268748002127,3.0474258068601583,41508.35711631653,126493.63867663052,3.0474258068601587
dataparallel,1024,single_gpu,forward_backward,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.4933946179226041,0.0246697308961302,24.669730896130204,41508.35711631653,24.669730896130204,8.095268748002127,3.0474258068601583,41508.35711631653,126493.63867663052,3.0474258068601587
dataparallel,2048,dataparallel,forward_backward,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.27160158904735,0.0135800794523675,13.5800794523675,150809.1323900877,49.37330059474334,13.5800794523675,3.635715149379026,41479.90868202248,150809.1323900877,3.635715149379026
dataparallel,2048,single_gpu,forward_backward,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.9874660118948668,0.0493733005947433,49.37330059474334,41479.90868202248,49.37330059474334,13.5800794523675,3.635715149379026,41479.90868202248,150809.1323900877,3.635715149379026
dataparallel,4096,dataparallel,forward_backward,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.5610635599587113,0.0280531779979355,28.053177997935563,146008.41303261346,98.14294925308786,28.053177997935563,3.498461003609296,41735.040888544805,146008.41303261346,3.498461003609296
dataparallel,4096,single_gpu,forward_backward,4,1,0,ProjectCIFAR10CNN,2193226,5,20,1.9628589850617573,0.0981429492530878,98.14294925308786,41735.040888544805,98.14294925308786,28.053177997935563,3.498461003609296,41735.040888544805,146008.41303261346,3.498461003609296
dataparallel,128,dataparallel,forward_only,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.1162101390073075,0.0058105069503653,5.81050695036538,22029.05892608063,0.3813467978034168,5.81050695036538,0.0656305553131533,335652.4841359324,22029.05892608063,0.06563055531315333
dataparallel,128,single_gpu,forward_only,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.0076269359560683,0.0003813467978034,0.3813467978034168,335652.4841359324,0.3813467978034168,5.81050695036538,0.0656305553131533,335652.4841359324,22029.05892608063,0.06563055531315333
dataparallel,256,dataparallel,forward_only,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.113598219002597,0.0056799109501298,5.679910950129852,45071.129151091256,0.8388403512071818,5.679910950129852,0.14768547580627203,305183.22065883974,45071.129151091256,0.14768547580627203
dataparallel,256,single_gpu,forward_only,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.0167768070241436,0.0008388403512071,0.8388403512071818,305183.22065883974,0.8388403512071818,5.679910950129852,0.14768547580627203,305183.22065883974,45071.129151091256,0.14768547580627203
dataparallel,512,dataparallel,forward_only,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.1294237190159037,0.0064711859507951,6.4711859507951885,79119.96408279454,2.535130549222231,6.4711859507951885,0.3917567148430823,201961.9858066401,79119.96408279454,0.39175671484308233
dataparallel,512,single_gpu,forward_only,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.0507026109844446,0.0025351305492222,2.535130549222231,201961.9858066401,2.535130549222231,6.4711859507951885,0.3917567148430823,201961.9858066401,79119.96408279454,0.39175671484308233
dataparallel,1024,dataparallel,forward_only,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.1238684629788622,0.0061934231489431,6.193423148943111,165336.6765638712,6.373427249491215,6.193423148943111,1.0290637497582933,160667.0885090506,165336.6765638712,1.0290637497582933
dataparallel,1024,single_gpu,forward_only,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.1274685449898243,0.0063734272494912,6.373427249491215,160667.0885090506,6.373427249491215,6.193423148943111,1.0290637497582933,160667.0885090506,165336.6765638712,1.0290637497582933
dataparallel,2048,dataparallel,forward_only,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.1269828660879284,0.0063491433043964,6.349143304396421,322563.20290989126,12.674159853486344,6.349143304396421,1.9961999983068912,161588.61996968155,322563.20290989126,1.9961999983068917
dataparallel,2048,single_gpu,forward_only,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.2534831970697269,0.0126741598534863,12.674159853486344,161588.61996968155,12.674159853486344,6.349143304396421,1.9961999983068912,161588.61996968155,322563.20290989126,1.9961999983068917
dataparallel,4096,dataparallel,forward_only,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.1711542749544605,0.008557713747723,8.557713747723028,478632.5087223013,25.28165975236334,8.557713747723028,2.9542539628753173,162014.67942060664,478632.5087223013,2.9542539628753173
dataparallel,4096,single_gpu,forward_only,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.5056331950472668,0.0252816597523633,25.28165975236334,162014.67942060664,25.28165975236334,8.557713747723028,2.9542539628753173,162014.67942060664,478632.5087223013,2.9542539628753173
